# USBR Lower Colorado Basin Annual reports: Yuma Irrigation Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Bureau wasn't tracking returns until 1982 so this is diversion data
1964 1 0 0 0 0 0 0 0 0 0 0 0 1 # No record
1965 476 688 2437 2577 3760 3548 3107 2914 3185 3058 980 452 27182
1966 593 1898 3181 5273 5614 5344 4258 3745 2976 3212 1342 1942 39379
1967 1229 2451 4423 4987 6977 6477 4690 3487 1914 3637 1599 941 42812
1968 2207 2721 4173 5222 5764 4804 3188 3685 4488 4204 3090 2614 46160
1969 1493 3689 4959 5148 6026 5282 5045 6179 5667 4695 2289 3193 53665
1970 1820 3511 3809 5405 6091 5760 5281 4660 3985 4365 3245 2189 50141
1971 2269 4654 4801 4407 5733 5483 4754 5277 5002 3636 3560 2260 51786
1972 2118 5508 4537 5260 5997 4751 6501 6259 4236 3205 2659 2500 53531
1973 2791 3109 4684 6423 8039 6190 5873 4857 4917 5015 2907 1924 56729
1974 1578 4453 4555 5267 5515 5799 6522 6480 6404 4226 3275 2075 56149
1975 3057 4401 4686 6651 6927 5074 4456 6170 6350 5069 3709 2728 59278
1976 2972 4385 6662 6640 5651 4987 5813 6809 5597 4492 2662 2990 59660
1977 2292 5765 5310 6319 5205 6176 7997 6449 5534 3620 3647 2186 60460
1978 1043 5147 4825 5978 6453 5773 6788 5992 4478 3904 4679 3177 58237
1979 1319 5137 3936 5811 6823 6633 6722 6384 4576 4740 4251 3123 59455
1980 3319 4096 5101 6431 5503 5896 8573 7747 5629 3678 3781 3045 62739
1981 3468 4708 4489 6230 5454 6782 8586 7036 6494 4405 4311 3910 65873
1982 2680 4943 3582 4940 6174 5383 6887 5735 5900 5479 4478 2099 58280
# Bureau started tracking return flows here so this is real consumptive use data
1983 3832 3604 4734 5156 7614 6531 7046 4405 7832 4968 3922 3730 63374
1984 3599 4010 5522 5384 6399 5042 3718 4580 5784 5413 3825 2088 55364 
1985 2685 3402 4868 6630 5796 4333 5217 5930 6538 5038 4576 3753 58766
1986 3622 3630 5005 6078 5384 4451 4845 5681 7239 6358 4837 3460 60590
1987 3397 4331 4492 6009 5874 5510 4970 5509 6516 5596 4059 3430 59693 
1988 2919 4052 5161 5498 6766 5415 5514 4568 6117 4831 4492 3553 58886
1989 2794 3822 5455 5981 5507 5463 4774 3332 5135 4806 3608 3853 54530
1990 2394 3278 5177 4938 5707 3852 4264 4535 6398 5647 3609 3695 53494
1991 2415 3463 3751 5545 6388 4249 5041 4907 6632 7073 4309 2377 56150 
1992 2274 3317 3359 6216 4910 3264 3575 3842 7138 6039 4280 1315 49529 
1993 589 1411 4146 5121 4872 3373 3394 3546 6895 5636 3393 2599 44975 
1994 2335 3176 4869 5493 4404 3140 3083 3187 5301 4376 3359 2317 45040
1995 1502 3283 4225 5183 5368 4071 3769 3336 6751 6003 3619 2871 49981 
1996 2817 3345 4892 6229 5654 3953 3128 3806 5716 5990 3900 2643 52073
1997 2523 3684 5403 6077 5348 4660 3461 4005 4845 5974 3344 1551 50875 
1998 2194 1457 4926 5320 5918 4685 4098 3586 5924 6028 3936 2664 50736 
1999 2808 2343 4411 4514 6301 5018 4633 3486 4485 5856 3566 3169 50590
2000 2741 3143 4505 5837 6392 4876 4996 3678 4995 5023 3325 3218 52729
2001 1939 2524 2987 5701 7211 3684 3546 3357 5379 5746 4040 3057 49171 
2002 2610 2567 4937 6530 7129 4759 4336 3047 4776 5774 3699 2467 52631 
2003 1980 1753 3671 4315 3983 3334 2692 2008 2423 3507 2375 1991 34034
2004 1681 2030 3009 4209 4064 2556 2700 1721 2995 2652 1720 932 30269 
2005 873 1117 3806 4245 3612 2770 2954 1823 2726 3329 2493 1576 31324
2006 1830 2540 2665 3825 4346 3895 3270 2283 3306 3243 2485 2170 35858 
2007 2059 2381 3529 3937 3976 3128 2787 2616 2807 3450 2493 1696 34859 
2008 1810 2596 4100 5321 4833 3513 3972 2869 3385 3852 2525 551 39327
2009 2035 2146 3646 4971 4666 2722 2934 3054 2785 3354 2593 1742 36648 
2010 871 1722 3498 3957 4126 3196 3256 3246 3099 2881 2385 1566 33803 
2011 2038 2441 4549 5021 4663 3188 3789 3483 2943 3237 2148 1299 38799 
2012 1734 2600 3884 4324 5085 4079 2632 3740 3251 3309 2341 1509 38488 
2013 1628 2204 3877 5510 4726 3634 3113 2499 2718 3223 1833 1430 36394 
2014 2017 2410 4043 5303 4725 3595 3603 2467 3329 3715 2643 1505 39355 
2015 1394 2834 4344 5338 3949 3082 4042 2072 3518 3621 2712 1907 38813 
2016 1389 2740 4229 5112 4931 3386 3905 2309 2767 3373 2284 1607 38032 
2017 1250 1419 3645 4241 3435 2274 2798 3024 2912 3855 2566 2137 33556 
2018 1931 2224 3919 4761 4979 3140 2388 2949 3099 2662 2731 1387 36170 
2019 1503 1810 3749 4735 4766 3451 3851 2950 2528 3642 2346 1407 36738 
2020 1955 2136 2062 4654 5073 3523 2980 3411 3341 3892 2763 2209 37999 
2021 1296 2357 3798 4862 5102 3563 2803 2514 3579 3199 2654 1820 37547 
