# USBR Lower Colorado Basin Annual reports: Yuma Mesa I Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964
1965
1966
1967
1968
1969
1970
1971
1972
1973
1974
1975
1976
1977
1978
1979
1980
1981
1982
1983 8178 6461 12770 15424 21634 24370 26473 17419 22783 12360 11970 5252 185094
1984 8279 10089 13126 18355 25788 29598 23301 19345 20409 13615 8615 1042 191562
1985 6997 6423 11071 22107 24436 28899 31676 28623 15475 11102 7938 6942 201689
1986 11651 10890 14927 20296 22821 28042 27032 26882 18708 14626 10342 5044 211261
1987 12587 11706 14257 21998 24664 26809 30362 25790 22021 14478 6825 13087 224584
1988 7349 9688 14231 15302 23237 27651 30376 27569 21828 13893 13580 13468 218172
1989 5803 7655 10929 19386 21625 26371 25399 19969 18270 16792 10966 7787 190952
1990 8942 7038 12088 19550 24412 26122 27599 27193 21433 12586 9788 14396 211127  # diff = 20 expected =  211127  got =  211147
1991 4549 7048 10455 17993 23115 23295 25517 22526 18417 15779 8903 3351 180948
1992 6771 5841 9031 15687 25301 26330 27048 24687 20604 14853 12024 2824 191001
1993 -1093 5329 14588 19353 22394 25073 27290 26577 21055 15311 7499 7606 190982 
1994 8823 6589 12993 18173 21050 26531 27812 27768 18603 15843 10648 4029 198862 
1995 2632 9902 14230 14392 22238 23083 25893 29131 23860 18456 10431 6773 201021 
1996 9270 9120 11819 17312 24829 24977 28267 24299 19173 18031 10048 6642 203787
1997 7410 8376 13367 17223 23060 24112 26442 24860 13631 17583 9526 2766 188356
1998 5762 2848 13579 15289 19251 22958 27483 25367 18972 12303 9500 5822 179134
1999 5977 5884 12537 11612 19052 21956 23990 23254 18960 12779 11878 11812 179690  # diff = 1 expected =  179690  got =  179691
2000 6546 7434 10833 14584 21856 23398 23501 21559 20954 13821 9054 5599 179139 
2001 5393 5412 7288 11347 18597 20007 20361 20771 16137 14424 9112 1787 150636
2002 7938 5926 10545 14530 18634 19958 22476 21099 14605 12773 6319 4365 159168
2003 1904 -669 3033 6915 8443 12357 14917 11356 11002 12732 3503 3512 89005
2004 3036 4200 8079 11095 14048 2206 15483 14688 11463 6505 2998 -161 93640
2005 620 86 10447 11586 16789 14550 12585 13088 10960 6166 6173 2092 104970 # error:  diff = 172 got sum = 105142 /ark/Varuna/USBR_Reports/images/az/consumptive_use/2005_4.png
2006 772 47 2108 3376 13061 14244 11636 11358 7207 6030 4091 2845 76775
2007 2521 609 3414 8235 11996 12019 12622 10867 6261 3397 3462 -1092 74311
2008 -580 596 5181 11169 8958 9762 11646 9029 8139 3568 -311 -3023 64134
2009 1189 62 4657 6668 7036 7090 10613 9140 8448 8633 6897 1177 71510 # error:  diff = 100 got sum = 71610 /ark/Varuna/USBR_Reports/images/az/consumptive_use/2009_4.png
2010 189 -1565 2102 5552 6151 9551 12208 12049 12090 11045 8301 6698 84371
2011 2876 2625 5608 8613 11761 11527 10534 12855 10955 9238 5115 5199 96906 
2012 4736 4147 5466 11298 17788 16427 14417 15388 6960 13218 7678 6258 123781
2013 6522 6096 6867 11855 15349 16090 16573 9767 8375 12113 8228 4050 121885
2014 2922 3216 8050 12598 16255 13238 15316 12546 8539 10479 7903 2800 113862
2015 4800 5068 9235 10959 11676 11557 9492 8509 9042 10773 6348 3842 101301
2016 2060 5290 8393 9477 12909 14659 14493 15683 11148 10948 7926 4632 117618 
2017 5008 3759 9145 9979 14637 16214 17664 16700 12145 8639 6746 2812 123448 
2018 2619 4244 6697 12176 15781 18217 19945 19055 13378 9930 5704 6519 134265 
2019 1861 5950 7246 11720 15727 17378 20567 20063 16639 14320 9411 4886 145768 
2020 7914 6704 5908 14255 16744 18808 20813 20881 17718 12884 9814 4105 156548 
2021 3313 5227 10351 11465 13163 16811 15714 16030 14529 8875 6715 3454 125647 
