# USBR Lower Colorado Basin Annual reports: Colorado River Indian Consumptive Use
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 -1750 11920 22810 14380 19730 27210 31680 27770 18100 6320 -780 2600 179990
1965 -2210 15400 23960 12630 15550 23160 28380 30870 19930 3660 -2780 -7010 161540
1966 -5313 14375 24348 23378 23619 25028 31299 32349 23348 1469 2748 5318 201966
1967 188 18307 24128 19327 27947 31417 33097 25607 10267 10147 3247 1156 204835
1968 2014 16955 31336 22205 26580 33665 36516 35142 18542 3346 3520 2493 232314
1969 -700 18464 33447 18678 24382 31788 36002 34527 11565 6387 1394 2687 218621  # revision applied checked, diff = 60 expected =  224139  got =  224199
1970 -1957 20844 15616 18431 26370 28889 40938 36385 23015 11643 4983 3085 228242
1971 608 26664 33007 35602 34160 33062 43348 31238 32076 12381 7881 7190 297217
1972 -4753 29880 26825 31759 37719 35242 43416 35603 22421 -1340 4367 8079 269218
1973 -10917 24535 19174 36720 39175 38883 50261 39151 32957 18655 6097 8552 303243
1974 -5138 21766 26866 36040 35332 39802 50193 45056 26499 11083 3405 7535 298439
1975 -1816 24338 31562 40069 44710 43849 47645 43479 29340 17326 5709 12812 339023
1976 -3164 12625 43981 33627 37906 49908 44150 44833 18654 6752 4564 7034 300870
# 59227 was repeated, replaced 2nd instance with 47392 which is what diversion-return says
1977 -7646 33822 36707 33682 35967 54693 59227 47392 27713 11709 5972 3824 343062   # USBR Error, 59227 was duplicated in record, shifted fields left and added last one diff = 43568 expected =  343062  got =  386630
1978 -7231 2051 29893 46827 37632 53099 57891 57681 32333 5827 -1561 1236 315678
1979 -7915 19784 32543 39205 38067 54374 59614 46887 29746 8413 3327 8410 332455
1980 -8891 5349 29182 48042 29069 51197 66359 58308 43034 14495 2966 9591 348701
1981 -10582 28132 39014 47708 41703 65619 67456 57697 29269 7103 1765 4244 379128
1982 -2524 21708 34207 40378 41497 59841 67830 30725 30809 8359 1296 -1077 333049
1983 -2449 14366 20385 40083 40857 49130 46856 23631 29542 7776 6368 2758 279303
1984 -5564 27327 35470 31450 37885 52142 47258 35349 23953 9526 1844 -14493 282147 # Revised
1985 -11020 7643 35823 35646 41442 46041 55371 54177 23537 5115 3662 875 298312
1986 -3828 17844 31835 35755 39015 51671 45221 42374 21997 5979 5712 3805 297380 
1987 3785 26892 31448 39677 45860 57201 63593 50999 24212 10782 -774 4925 358600 
1988 -3259 19573 40706 29647 49914 61348 63410 43373 32874 14884 9356 8254 370080 
1989 -1189 19937 58908 46966 53420 67720 66901 49240 35637 14381 6416 9516 427853
1990 -7499 22945 44681 38738 53955 68723 72090 52782 28382 18711 9914 14803 418225
1991 -2789 25741 17847 40209 51673 62700 73134 57262 24464 17899 9086 13478 390702  # diff = 2 expected =  390702  got =  390704
1992 -796 12855 21033 41423 48184 66219 72947 43131 21008 17721 9521 4089 357333  # diff = 2 expected =  357333  got =  357335
1993 -11477 -442 40243 46430 51478 57124 65043 46965 25018 18709 11880 20922 371893 
1994 7619 20454 27033 42749 49706 65595 63870 61879 34101 21726 12384 12610 419725  # diff = 1 expected =  419725  got =  419726
1995 -9870 5196 45081 44709 53917 64181 71004 65409 37513 22171 10049 15742 425102
1996 10531 27221 50251 48851 60813 70280 71408 59891 33424 19752 7460 16456 476338
1997 -3729 29377 37836 40162 55502 55403 59949 50906 29686 19447 10410 7772 392723 # diff = -2 expected =  392723  got =  392721
1998 2986 2402 35423 41893 48060 48114 55166 49944 23662 22951 7036 14029 351668  # diff = -2 expected =  351668  got =  351666
1999 7392 17888 37486 29285 43355 46102 42239 46132 25392 22197 10346 15351 343165 
2000 7670 20549 32431 38796 52762 55840 55617 53333 33570 17548 11631 12559 392306 
2001 -808 19909 16188 41200 50849 50041 46704 46653 29192 18145 12939 11336 342348 
2002 12421 22200 30913 43919 51252 49524 56059 49554 26605 22763 12407 7243 384860 
2003 7889 5615 27487 42656 49914 51510 57552 46235 34183 20259 4949 10581 358830 
2004 10021 15301 30548 36537 45724 50296 50043 47071 30363 13740 -6105 4057 327596 
2005 -6700 -3850 24705 49440 49060 51538 51793 44446 35676 16905 7835 8263 329111 
2006 9628 15606 24999 35346 50491 50761 49225 42631 29971 17429 10150 14855 351092 
2007 11437 17275 24087 42472 45615 48869 51153 48512 35233 19864 10004 8380 362901 
2008 4347 23009 42266 46952 41431 50882 58601 52246 37779 22442 11675 5294 396924
2009 21119 15066 42670 47602 52687 47047 51381 50720 37785 21243 10350 3831 401501
2010 -765 5837 30745 39612 48440 57241 62138 59324 42850 16045 10841 6543 378851 
2011 7265 5631 24977 40918 42714 53705 56028 56475 32363 17757 -203 5619 343249 
2012 6121 17041 27141 34581 48843 53450 45629 40795 32260 14391 4547 981 325780 
2013 -2397 14607 27836 41394 45943 48884 44116 43460 22331 18212 8717 9556 322659 
2014 8304 17417 29448 39550 44652 42219 50974 35147 21303 20058 9454 7864 326390 
2015 6731 14577 23822 41243 34677 39292 37551 40936 25503 12823 12134 11571 300860 
2016 -4229 22393 33362 31815 41542 44262 45792 35838 25965 16950 8844 5605 308139
2017 -5884 7676 28507 45421 42860 45364 44746 37765 23932 19859 3353 6354 299953 
2018 1261 9038 28831 31362 43392 47556 44376 31035 28904 5689 10591 950 282985 
2019 -3656 7648 20993 29982 39945 43424 48647 44206 17309 8506 -66 -7248 249690 
2020 1989 11454 -2697 24027 31508 30688 33106 31189 18534 8715 5174 8776 202463 
2021 -6880 15143 23992 29901 31636 31680 31064 26841 20949 11100 4113 5988 225527 
