# USBR Lower Colorado Basin Annual reports: Chemehuevi Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1996 45 36 62 67 82 99 108 104 81 68 49 48 848
1997 8 15 23 25 30 33 33 30 20 15 10 10 252 
1998 35 29 49 53 64 77 84 81 64 53 38 37 664 
1999 10 3 19 25 25 20 42 32 29 26 19 14 265
2000 11 26 26 17 63 30 80 26 15 34 6 9 342
2001 13 18 19 12 17 13 36 34 20 22 7 5 216
2002 7 14 14 10 14 17 5 2 0 5 1 0 89
2003 0 0 15 17 3 0 2 6 191 190 197 0 621 
2004 0 0 242 242 240 240 240 240 0 0 0 0 1444 
2005 0 0 242 242 48 240 244 240 240 0 0 0 1496
2006 15 11 30 17 23 25 29 26 22 61 18 17 294 
2007 15 11 30 17 23 25 29 26 22 61 18 17 294
2008 16 19 27 29 35 43 46 45 35 29 21 20 365 
2009 16 19 27 29 35 43 46 45 35 29 21 20 365
2010 6 8 11 11 14 17 18 18 14 12 8 8 145 
2011 10 11 10 10 12 17 17 20 21 18 17 11 174 
2012 13 13 13 13 15 19 17 16 14 14 13 10 170 
2013 20 11 15 17 20 24 28 23 20 18 16 14 226 
2014 12 9 18 18 23 32 32 33 17 18 19 15 246 
2015 12 11 15 14 23 25 20 26 14 11 10 40 221
2016 14 12 14 15 26 30 18 30 28 25 13 19 244 
2017 10 12 18 17 25 30 37 243 27 24 28 18 489 
2018 33 4 9 4 14 16 18 56 14 11 8 1 188 
2019 8 4 11 13 19 17 18 21 15 16 4 7 153 
2020 10 9 10 13 22 21 23 24 19 18 14 0 183 
2021 7 11 15 15 19 15 22 18 17 16 11 9 175 
