# USBR Lower Colorado Basin Annual reports: Imperial Irrigation District Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 160414 219576 279089 292682 271502 276374 303788 295222 271354 232983 154357 133814 2891155
1965 139548 182472 256718 249850 279260 271357 310602 319947 281478 242228 131056 76793 2741309
1966 103268 166626 258870 311762 311025 331081 325703 316681 256027 230533 155750 177169 2944495
1967 160788 195171 299017 267367 283762 300427 326461 306163 214155 246522 150397 69494 2819724
1968 168766 195649 274280 284980 280745 286905 269518 281248 270935 241192 175592 165731 2895541
1969 104712 202164 294664 291918 288898 275301 284159 282723 213632 250625 121463 156665 2766924
1970 176418 175055 248293 317469 284767 276293 289088 258406 228885 260696 176347 156848 2848565
1971 178390 202119 302853 309761 280014 252181 307047 260622 240857 248532 181569 168593 2932538
1972 213364 199072 301139 320356 303886 273223 303757 281853 268640 162973 157613 180034 2965910
1973 187069 150822 266619 347210 329832 283324 296269 287020 294193 259853 184848 160841 3047899
1974 114592 226609 286729 362442 339987 302846 335320 341891 312343 241020 168454 139744 3171977
1975 194490 198916 289254 311143 347343 265424 286503 297133 283623 255563 178712 162870 3070974
1976 179832 140697 328748 306344 327539 284688 309953 329984 187618 209868 122130 149473 2876984
1977 132503 187912 277938 318347 288312 292331 363218 235092 218141 183424 151577 123267 2772062
1978 57304 160689 256724 340039 306762 277222 320646 312052 271207 194484 148586 111494 2757199
1979 78077 163044 258863 354318 310910 283508 311491 301207 286264 228235 157964 150354 2884235
1980 122274 84770 269671 348545 270006 269965 319777 339150 293787 228967 154119 144748 2845779
1981 114266 195563 267408 349322 289034 275583 327183 299999 263014 212895 146807 131215 2872289
1982 161740 179706 226654 341663 272236 226518 274422 262597 207590 220670 143397 78385 2595578
1983 151450 97313 199652 304463 291918 258499 294651 234777 220484 214052 166052 122306 2555617
1984 149549 202638 275265 318643 288772 257783 255977 256892 232754 220824 146833 76770 2682700
1985 114480 167715 260805 337692 305371 273468 293472 317524 227541 206244 146613 66988 2717913 
1986 114480 167715 260805 337692 305371 273468 293472 317524 227541 206244 146613 66988 2717913 
1987 146374 164480 248575 317808 304973 283644 314450 308481 259667 209218 127701 130615 2815986 
1988 142594 153636 286780 302209 332644 297275 331771 306696 272657 231571 192571 163783 3014187 
1989 116837 186958 305180 358319 320896 298735 333803 299346 265076 260229 187164 153268 3085811 
1990 148808 183656 279270 334350 352684 309179 349455 310329 259418 247682 197666 162804 3135301 
1991 122147 179518 207602 345913 356591 319531 349244 313786 249550 267751 194396 79694 2985723 
1992 124126 129352 205005 324479 320440 294004 314946 237783 209294 232547 183672 100253 2675901 
1993 41563 98010 304247 351678 331066 313816 326906 307728 254544 250712 149725 156570 2886565 
1994 160691 138476 278332 373207 337507 342390 365549 329482 270948 263596 182624 129280 3172082 
1995 59236 170509 319366 345485 346146 351312 377522 341296 266899 253359 182669 158128 3171927 
1996 177341 201601 315729 368836 336917 321597 351045 314048 257932 262959 194964 172484 3275453 
1997 156154 213886 310929 364039 337789 338680 366850 336774 226933 252405 196346 134474 3235259 
1998 157213 106224 299112 342726 354043 327213 377934 321040 263927 259873 176547 162312 3148164 
1999 162424 179396 295697 311262 345060 331740 314024 297691 256977 265479 194930 167800 3122480 
2000 159534 179174 283818 352066 362321 332461 352379 305213 179293 145911 179311 145975 2977456 
2001 125766 167868 221562 342406 371484 339109 370894 340093 293193 265665 198881 154005 3190927  # sum 1 less than total /ark/Varuna/USBR_Reports/images/ca/consumptive_use/2001_2.png
2002 153082 192723 277049 332514 360734 333917 377089 341232 272637 257724 187775 143876 3230352 
2003 162274 126025 278351 336869 339641 319043 341347 293460 265472 270714 178927 154238 3066361 
2004 141009 142098 266314 296357 331689 321012 325220 299970 254353 200251 142698 101823 2822794 
2005 107626 92107 264840 319404 340457 318711 339173 264213 265738 216677 187354 144226 2860526 
2006 155181 177064 236042 299375 342111 316698 326189 302081 265331 244800 176117 153336 2994325 
2007 157668 174743 287839 317642 333477 310384 339390 290303 249979 230433 149390 111278 2952526 
2008 121090 179039 302559 354756 326038 294192 324639 288199 234857 221274 164539 107926 2919108 
2009 149728 138256 291539 318877 284424 254593 271045 249091 215700 226542 159637 119923 2679356 # sum 1 less than total /ark/Varuna/USBR_Reports/images/ca/consumptive_use/2009_2.png
2010 87028 103002 245534 291276 321872 282699 311096 274205 245160 186780 169938 122179 2640769 
2011 148868 131536 271913 317419 317743 305923 333956 303172 243663 240458 159160 125542 2899353 
2012 146018 175122 282788 332230 334585 316965 303373 244271 240452 243470 166409 111919 2897602 
2013 128295 138943 246298 291516 294139 276919 265914 222207 184563 224741 142898 119019 2535452 
2014 112654 147221 240771 267407 300923 283010 291138 215476 199711 192825 153596 91696 2496428 
2015 114944 149559 225000 273215 218767 256347 248279 241971 205432 217581 174857 129697 2455649 
2016 84186 168966 241342 242006 275253 280128 254111 235997 198192 203110 156965 121306 2461562 
2017 58392 127709 245589 268744 283328 279141 261534 228921 215151 229926 156229 133951 2488615 
2018 123031 165030 222166 281155 298009 279935 258328 242009 205137 210785 150338 79292 2515215 
2019 89225 120375 225344 273787 312564 289701 293201 275510 227562 220660 123027 78841 2529797 
2020 110253 133835 147400 236304 327819 288291 277937 244294 216451 220493 158613 125686 2487376 
2021 92643 144715 253897 290313 301824 287866 283947 255113 215127 212376 150661 129428 2617910 
